id,dienbienca,nhanvien
6c249977,d52fcc6e,a782b548
8014aa51,9b76447c,2414884e
c30e84ab,8f4fdb1b,a782b548
7bb9dafa,e1df3228,750f3aa9
70644a4a,e1df3228,2414884e
e43a571a,e1df3228,1
"4,41E+25",7bfedd65,1b836613
1490f0a7,7bfedd65,2
9238b1a4,cfbc6618,2a776990
9a1a880f,cfbc6618,3bf3960f
e2f92a70,15748fe7,40e103fe
ba050b16,15748fe7,1b836613
961aafdd,c33056dc,1b836613
5185171b,c33056dc,a782b548
f2464769,063d0fdb,1b836613
314f6e07,063d0fdb,21827101
4e8af332,5e264926,4613f12e
45a11a0c,5e264926,2
71fe684b,646b46e6,2414884e
f4ca8d67,38c352b8,a782b548
0f7adc13,d934b8d1,2414884e
fa3fb509,a4d04e4a,a782b548
f80b641a,21013313,2
f481f276,21013313,1
6cdad6de,1be35c59,2
0c825dec,1be35c59,d8a65191
3061a452,54999177,5a310828
985adbe0,aae429f1,1e6859b8
cbdc7b97,2fa95434,1
01f2000d,2fa95434,2
eff640c4,87223f5f,09659890
59e1f419,87223f5f,040b166c
1e75571a,b2ea84ca,21827101
df0b7b67,b2ea84ca,09659890
9131b846,5aaaca2a,2414884e
04cc69f0,5f6170c4,6eb760de
946ed56f,a1231963,1
55340c85,991a8916,a782b548
488cc8b8,e14dacdd,2414884e
38bbf3f1,932a1262,ffd07042
3de8e4e6,932a1262,2414884e
9742bd1e,48af88ce,040b166c
b3cefd25,38d634c3,1b836613
f6064afa,38d634c3,ce1e9417
fea8ca63,38d634c3,2
6d669cb7,9b77d874,24123f75
eacc780c,9b77d874,d0fb355f
fe39be48,56d2a186,1ecd3cd8
dcf838e8,56d2a186,907cac43
34ec97aa,5c96845c,bc812b63
458e9f71,b376a679,ec0565d2
f398b947,3b2bbef2,21827101
ad5a0e73,3b2bbef2,09659890
c235a663,d382e184,1e6859b8
f288ecf7,d382e184,09659890
338d49f1,d382e184,1b836613
56b8747a,36700d6c,2414884e
3798a2e5,d54184bd,a782b548
3d226961,7c1b9165,750f3aa9
301ab913,7c1b9165,a782b548
6216c683,7c1b9165,1
5eb728b0,6bd4c78c,2414884e
467b4ee5,d3e79eb9,a782b548
e8547e3f,0c66503d,1
15c9f56b,32cd88dd,6eb760de
91a2ee04,56963ebc,1
a7a23634,a893736a,1
b42b94ac,3ac3ca85,6eb760de
e6a1a6d1,88ebe4d6,1
94291236,89777c58,1
aaf991b0,bd8bc5a8,1
38e1e35f,10f17812,6eb760de
0f7131fe,9f2cb6f1,6eb760de
c01d5f27,196fe412,4613f12e
72c0b103,196fe412,2
8de8d50f,523d2244,d6f9d4c3
f0184b9f,537aac74,4613f12e
d3498324,537aac74,2
d8920e32,1fbfe55c,40e103fe
88730fcf,1fbfe55c,09659890
48e35b6d,fa6f9001,2414884e
e6083d8e,70bebcee,040b166c
97e80f94,9e49c203,2414884e
255f4680,4e51e0ad,a782b548
27c20c15,e10c8da0,2
9119319c,e10c8da0,1
0de6fdf9,5542dbfc,2
41913a2f,5542dbfc,4613f12e
6d12930b,b62f2f95,2
30e70bc1,b62f2f95,1e6859b8
8917428e,37b7d413,1
8b372ca9,996d4ae5,2414884e
b229137a,ce4e13c8,2414884e
aaaa5d3c,9ab45340,a782b548
4d90a473,76d7997b,2
f167664d,76d7997b,a782b548
81799256,3e59de26,d6c4ddf3
1afd2d2e,3e59de26,b6220f5c
4bef950f,c3169297,2bab3c2d
584b70f8,c3169297,2
0e13a6dd,c3169297,f8b4338a
ef703f69,c3169297,9c57a337
0675dd97,194eeff9,2a776990
5fc41b33,194eeff9,3bf3960f
38c3d7dc,14cda089,2414884e
acd00d9f,ef523507,2414884e
14885cdc,90b1c9bb,a782b548
1ba1510e,3e031a0f,2
d0367ea6,85b4580c,1
9783e8b1,702adece,1
28e6f37f,05f4e749,6eb760de
91249354,2ce09333,1
319e71a8,4aef4bbd,6eb760de
5de8d47d,b8ea37b4,1
f704abf9,41802757,6eb760de
